id,department,assignment_name,course,points_possible,assignment_id,unlock_at,lock_at,due_at,url,needs_grading_count,published,anonymous_grading,active,graded,ungraded,pc_graded,not_submitted,quiz,sas_exam,average_score,type,has_overrides,posted_at,rollover_to_course,previous_term_assignment,assignment_type,rubric_title
706904,School of Life Sciences,RESIT Final library dissertation - Marker 2  ,PHAR660-202324,,276934,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276934,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,SOLS  Extended Writing - 2324 - 18147
706906,School of Life Sciences,RESIT Library Dissertation Draft,PHAR660-202324,,276935,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276935,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,
706908,School of Life Sciences,RESIT Lab Report Draft,PHAR660-202324,,276936,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276936,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,
706914,School of Life Sciences,RESIT  Consultancy report,OX-399WBP23-202324,,276919,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/65778/assignments/276919,0,FALSE,TRUE,TRUE,0,0,,58,FALSE,FALSE,,,FALSE,,,,,LIFEPSYC399 Assessment 2 2023/24 - 15803
706916,School of Life Sciences,RESIT LIFE701.2 (10%) - Internship Talk (oral presentation) - Marker 1,OX-RSRCINTNSP-202324,,276921,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67111/assignments/276921,0,FALSE,TRUE,TRUE,0,0,,41,FALSE,FALSE,,,FALSE,,,,,LIFE701.2 - Internship Talk (1) - 17694
706918,School of Life Sciences,RESIT LIFE701.2 (10%) - Internship Talk (oral presentation) - Marker 2,OX-RSRCINTNSP-202324,,276922,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67111/assignments/276922,0,FALSE,TRUE,TRUE,0,0,,41,FALSE,FALSE,,,FALSE,,,,,LIFE701.2 - Internship Talk (2) - 17695
706920,School of Life Sciences,RESIT LIFE701.0 (65%) - Internship final report submission ,OX-RSRCINTNSP-202324,,276923,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67111/assignments/276923,0,FALSE,TRUE,TRUE,0,0,,41,FALSE,FALSE,,,FALSE,,,,,LIFE701 Final Report 2023-24 - 17650
706922,School of Life Sciences,RESIT LIFE701.2 (10%) - Internship Talk (oral presentation) for students on placement - Marker 1,OX-RSRCINTNSP-202324,,276924,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67111/assignments/276924,0,FALSE,TRUE,TRUE,0,0,,41,FALSE,FALSE,,,FALSE,,,,,LIFE701.2 - Internship Talk (2) - 17695
706924,School of Life Sciences,RESIT LIFE701.2 (10%) - Internship Talk (oral presentation) for students on placement - Marker 2,OX-RSRCINTNSP-202324,,276925,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67111/assignments/276925,0,FALSE,TRUE,TRUE,0,0,,41,FALSE,FALSE,,,FALSE,,,,,LIFE701.2 - Internship Talk (2) - 17695
706926,School of Life Sciences,RESIT LIFE701.0 (65%) - Internship final report submission for placement students,OX-RSRCINTNSP-202324,,276926,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67111/assignments/276926,0,FALSE,TRUE,TRUE,0,0,,41,FALSE,FALSE,,,FALSE,,,,,LIFE701 Final Report 2023-24 - 17650
